month,plan,segment,region,users,active_users,churned_users,mrr,support_tickets,nps,discount
2026-01,Basic,SMB,North,420,388,32,12600,74,42,0.05
2026-01,Pro,SMB,North,260,245,15,20800,38,51,0.08
2026-01,Enterprise,MidMarket,East,90,88,2,31500,22,63,0.03
2026-02,Basic,SMB,North,438,397,41,13140,81,39,0.06
2026-02,Pro,SMB,North,275,259,16,22000,41,50,0.08
2026-02,Enterprise,MidMarket,East,96,93,3,33600,25,62,0.03
2026-03,Basic,SMB,West,455,402,53,13650,104,34,0.07
2026-03,Pro,SMB,West,288,270,18,23040,47,48,0.08
2026-03,Enterprise,MidMarket,East,102,99,3,35700,27,64,0.03
2026-04,Basic,SMB,West,470,405,65,14100,122,29,0.09
2026-04,Pro,SMB,West,305,283,22,24400,56,44,0.09
2026-04,Enterprise,MidMarket,East,110,106,4,38500,31,61,0.04
2026-05,Basic,SMB,South,490,410,80,14700,148,24,0.10
2026-05,Pro,SMB,South,315,289,26,25200,64,,0.09
2026-05,Enterprise,MidMarket,East,116,112,4,40600,32,60,0.04
2026-06,Basic,SMB,South,510,418,92,15300,168,21,0.11
2026-06,Pro,SMB,South,330,300,30,26400,71,40,0.10
2026-06,Enterprise,MidMarket,East,123,118,5,43050,36,58,0.04
